event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC 5: The Return of the Beast,1995-04-07,Oleg Taktarov,Ernie Verdicia,Red,Open Weight,Submission,1,0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,2.0689655172413794,0,1,,2.539999999999992,,4.989999999999995
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,Anthony Macias,Red,Open Weight,Submission,2,1,-0.8888888888888888,0.0,-0.5,-0.09999999999999998,2.227722772277228,0.0,-4.571428571428571,1.6336633663366338,1,0,,7.6200000000000045,,11.340000000000003
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,Dave Beneteau,Red,Open Weight,Submission,3,3,-0.5945945945945946,-0.6666666666666666,-0.07826086956521738,0.0,4.358353510895884,-5.389221556886228,-3.9520958083832336,1.238781516869409,0,0,,-5.0800000000000125,,-18.15000000000001
UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov,David Abbott,Red,UFC 6 Tournament Title,Submission,4,1,-0.6666666666666666,-1.0,0.06756756756756754,-0.5,5.74468085106383,-7.964601769911504,-7.433628318584071,1.5115797401619284,2,1,,0.0,,-24.950000000000003
UFC 6: Clash of the Titans,1995-07-14,Paul Varelans,Cal Worsham,Red,Open Weight,KO/TKO,1,0,0.5,0.0,0.33333333333333337,0.0,0.0,0.0,0.5309734513274337,7.433628318584071,0,1,,22.859999999999985,,31.750000000000018
UFC 6: Clash of the Titans,1995-07-14,David Abbott,John Matua,Red,Open Weight,KO/TKO,2,0,0.4696969696969697,0.75,0.5833333333333333,1.0,0.7640067911714772,2.2920203735144313,1.5789473684210527,0.2546689303904924,1,1,,-5.0800000000000125,,-61.239999999999995
UFC 6: Clash of the Titans,1995-07-14,Anthony Macias,He-Man Gipson,Red,Open Weight,KO/TKO,2,0,0.8,0.0,1.0,0.6666666666666667,0.0,0.0,4.2105263157894735,0.0,0,2,,0.0,,0.0
UFC 6: Clash of the Titans,1995-07-14,Patrick Smith,Rudyard Moncayo,Red,Open Weight,Submission,4,0,0.625,0.0,0.4,0.8,7.758620689655171,0.0,5.1724137931034475,2.3275862068965516,3,1,,10.159999999999997,,13.61
UFC 6: Clash of the Titans,1995-07-14,Ken Shamrock,Dan Severn,Red,UFC Superfight Championship,Submission,2,6,0.407925407925408,-0.033333333333333326,-0.27826086956521745,0.0,-0.588541250763464,-0.6303024286229175,0.6591791500575159,-0.01113631409585436,-3,-1,,-2.5400000000000205,-5.0,-20.41000000000001
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,Paul Varelans,Red,UFC 7 Tournament Title,KO/TKO,0,2,-0.375,0.0,-0.5740740740740741,-0.5,0.0,0.0,-3.0857142857142854,-7.885714285714285,-1,-1,,-17.78,,-40.83000000000001
UFC 7: The Brawl in Buffalo,1995-09-08,Joel Sutton,Geza Kalman,Red,Open Weight,TKO - Doctor's Stoppage,1,0,0.5833333333333334,0.0,1.0,1.0,0.0,0.0,3.4710743801652892,0.0,1,0,,-5.079999999999984,,2.269999999999996
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,Gerry Harris,Red,Open Weight,KO/TKO,3,0,0.35185185185185186,0.0,0.504424778761062,0.6666666666666667,0.925925925925926,0.0,1.1728395061728396,3.4567901234567904,1,2,,0.0,,13.610000000000014
UFC 7: The Brawl in Buffalo,1995-09-08,Mark Hall,Harold Howard,Red,Open Weight,KO/TKO,0,2,-0.6111111111111112,0.0,-0.4,-0.33333333333333337,-6.7669172932330826,0.0,-4.962406015037594,-4.060150375939849,-1,-1,,-5.0800000000000125,,-22.679999999999993
UFC 7: The Brawl in Buffalo,1995-09-08,Remco Pardoel,Ryan Parker,Red,Open Weight,Submission,3,0,0.7857142857142857,0.6666666666666666,0.6666666666666667,0.75,1.1673151750972763,2.3346303501945527,0.8560311284046693,0.1556420233463035,2,1,,0.0,,11.340000000000003
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,Larry Cureton,Red,Open Weight,Submission,1,1,0.05932203389830504,0.0,0.6666666666666667,1.0,0.0,0.0,2.1414590428392186,-0.6186054848539165,1,-1,,-2.5400000000000205,,-13.61
UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans,Mark Hall,Red,Open Weight,Submission,4,1,0.14655172413793105,0.25,0.31304347826086953,0.25,0.8678881388621024,0.8678881388621024,0.7367024069812961,0.8638780946561391,1,2,,20.319999999999993,,49.900000000000006
UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas,Remco Pardoel,Red,Open Weight,Submission,2,4,-0.16666666666666663,-0.25,-0.14671814671814676,0.19999999999999996,0.8171548117154808,-1.9242677824267784,1.3496234309623432,0.8344769874476987,-1,-1,,-5.0800000000000125,,-22.680000000000007
